image_url,image_name,latitude,longitude,heading,image_id,n_comparisons,group,weight,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.32951621_-0.07573076_90.jpg,51.32951621_-0.07573076_90,51.32951621,-0.07573076,90,image_1,11,low,3,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.36260156_0.003917424_0.jpg,51.36260156_0.003917424_0,51.36260156,0.003917424,0,image_2,15,medium,2,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.3673414_-0.220090709_90.jpg,51.3673414_-0.220090709_90,51.3673414,-0.220090709,90,image_3,12,low,3,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.37618993_-0.19291977_90.jpg,51.37618993_-0.19291977_90,51.37618993,-0.19291977,90,image_4,17,medium,2,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.38062623_-0.105095238_0.jpg,51.38062623_-0.105095238_0,51.38062623,-0.105095238,0,image_5,20,high,1,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.38859713_-0.074442839_0.jpg,51.38859713_-0.074442839_0,51.38859713,-0.074442839,0,image_6,8,very_low,4,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.40054519_0.017762831_0.jpg,51.40054519_0.017762831_0,51.40054519,0.017762831,0,image_7,17,medium,2,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.40216375_0.015780395_0.jpg,51.40216375_0.015780395_0,51.40216375,0.015780395,0,image_8,10,low,3,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.40216375_0.015780395_90.jpg,51.40216375_0.015780395_90,51.40216375,0.015780395,90,image_9,13,low,2.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.40402503_0.015144352_0.jpg,51.40402503_0.015144352_0,51.40402503,0.015144352,0,image_10,17,medium,2,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.40545259_0.01809028_0.jpg,51.40545259_0.01809028_0,51.40545259,0.01809028,0,image_11,15,medium,2,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.40571715_0.014978896_0.jpg,51.40571715_0.014978896_0,51.40571715,0.014978896,0,image_12,13,low,2.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.40620638_0.01774384_90.jpg,51.40620638_0.01774384_90,51.40620638,0.01774384,90,image_13,13,low,2.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.41076325_-0.302870888_90.jpg,51.41076325_-0.302870888_90,51.41076325,-0.302870888,90,image_14,15,medium,2,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.41078546_-0.299424397_90.jpg,51.41078546_-0.299424397_90,51.41078546,-0.299424397,90,image_15,18,medium,1.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.41127396_-0.303826644_0.jpg,51.41127396_-0.303826644_0,51.41127396,-0.303826644,0,image_16,12,low,3,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.4114525_-0.301861081_0.jpg,51.4114525_-0.301861081_0,51.4114525,-0.301861081,0,image_17,9,very_low,4,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.4114525_-0.301861081_90.jpg,51.4114525_-0.301861081_90,51.4114525,-0.301861081,90,image_18,11,low,3,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.41279463_-0.183049874_0.jpg,51.41279463_-0.183049874_0,51.41279463,-0.183049874,0,image_19,18,medium,1.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.41329917_-0.178574345_0.jpg,51.41329917_-0.178574345_0,51.41329917,-0.178574345,0,image_20,14,low,2.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.41447414_0.007001199_0.jpg,51.41447414_0.007001199_0,51.41447414,0.007001199,0,image_21,9,very_low,4,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.42277401_-0.107406913_90.jpg,51.42277401_-0.107406913_90,51.42277401,-0.107406913,90,image_22,10,low,3,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.42278786_-0.160398794_90.jpg,51.42278786_-0.160398794_90,51.42278786,-0.160398794,90,image_23,13,low,2.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.42459512_-0.145183429_0.jpg,51.42459512_-0.145183429_0,51.42459512,-0.145183429,0,image_24,13,low,2.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.4283615_-0.135658068_90.jpg,51.4283615_-0.135658068_90,51.4283615,-0.135658068,90,image_25,14,low,2.5,,
https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.43373587_-0.035358738_90.jpg,51.43373587_-0.035358738_90,51.43373587,-0.035358738,90,image_26,18,medium,1.5,,
